cityname,costtocomplete,low_poverty,moderatelow_poverty,moderate_poverty,moderatehigh_poverty,high_poverty,highest_poverty,unknown_poverty,total_projects,avg_household_salary,corr_salary_highestpoverty
Pleasant Hill,19151.26,9,15,3,0,4,0,0,31,81566,
Pleasanton,41440.31,39,0,0,0,0,0,0,39,123608,
Portola Valley,0,0,0,0,0,0,0,0,0,182381,
Redwood City,2628.35,0,1,0,0,0,0,0,1,81955,
Richmond,39234.94,1,1,0,8,22,17,0,49,54857,
Rio Vista,1047.14,0,2,0,0,0,0,0,2,62616,
Rohnert Park,172.75,0,0,0,0,1,0,0,1,57557,
Ross,0,0,0,0,0,0,0,0,0,186477,
San Anselmo,0,0,0,0,0,0,0,0,0,100681,
San Bruno,6750.05,0,2,1,0,0,0,0,3,81420,
San Carlos,2020.91,1,0,0,0,0,0,0,1,125747,
San Francisco,27881.14,0,2,8,11,16,13,0,50,78378,
San Jose,28065.22,3,3,5,10,25,4,0,50,83787,
San Leandro,28936.22,0,3,0,18,2,4,2,29,62279,
San Mateo,11393.52,0,5,4,3,0,0,0,12,90087,
San Pablo,23074.49,0,0,0,2,3,19,1,25,42746,
San Rafael,17090.54,1,0,0,2,7,8,0,18,75668,
San Ramon,48804,46,0,0,0,0,0,0,46,129062,
Santa Clara,4951.84,1,0,4,2,1,0,0,8,93840,
Santa Rosa,18434.43,2,0,4,4,10,7,0,27,60758,
Saratoga,366.05,2,0,0,0,0,0,0,2,167917,
Sausalito,572.65,0,0,1,0,0,0,0,1,111702,
Sebastopol,621.67,1,0,0,0,0,0,0,1,52326,
Sonoma,1449.34,0,0,1,1,0,0,0,2,66951,
South San Francisco,873.25,1,0,0,0,0,0,0,1,78101,
St. Helena,0,0,0,0,0,0,0,0,0,78421,
Suisun City,3787.85,0,0,0,2,1,0,0,3,71306,
Sunnyvale,5864.74,1,2,0,9,0,0,0,12,103257,
Tiburon,0,0,0,0,0,0,0,0,0,130661,
Union City,33317.36,1,7,10,7,0,0,0,25,82564,
Vacaville,909.74,0,1,0,0,1,0,0,2,74207,
Vallejo,5431.39,1,0,0,3,3,5,0,12,58472,
Walnut Creek,48571.04,50,0,0,0,0,0,0,50,80399,
Windsor,0,0,0,0,0,0,0,0,0,81442,
Woodside,0,0,0,0,0,0,0,0,0,206528,
Yountville,0,0,0,0,0,0,0,0,0,65568,
